name_question,category,category2,abstract,contents,source,URL,name_exam,sortA,sortB,sortC,sortD,sortE,year,month,day,lunar_date,ganji_kr_year,ganji_kr_month,ganji_kr_day,ganji_cn_year,ganji_cn_month,ganji_cn_day,is_leap_month
1414년_식년시소과_생원_복시,,,,,"방목, 연구서(29면), 실록",https://sillok.history.go.kr/id/kca_11402026_001,1414년_식년시소과_생원_복시,소과,생원,식년시,복시,,1414.0,2.0,26.0,1414-01-27,갑오,병인,임인,甲午,丙寅,壬寅,False
1417년_식년시소과_생원_문제,,,,,"방목, 연구서(34면), 실록",https://sillok.history.go.kr/id/kca_11702012_001,1417년_식년시소과_생원,소과,생원,식년시,복시,,1417.0,2.0,12.0,1417-01-17,정유,임인,갑진,丁酉,壬寅,甲辰,False
1419년_증광시소과_생원_문제,,,,,실록,https://sillok.history.go.kr/id/kda_10102003_004,1419년_증광시소과_생원,소과,생원,증광시,복시,,1419.0,2.0,3.0,1418-12-30,무술,을축,을사,戊戌,乙丑,乙巳,False
1420년_식년시소과_생원_문제,,,,,실록,https://sillok.history.go.kr/id/kda_10201113_003,1420년_식년시소과_생원,소과,생원,식년시,전시,,1420.0,1.0,13.0,1419-12-19,기해,정축,기축,己亥,丁丑,己丑,False
1423년_식년시소과_생원_문제,,,,,"방목, 연구서(42면), 실록",https://sillok.history.go.kr/id/kda_10502014_003,1423년_식년시소과_생원,소과,생원,식년시,복시,,1423.0,2.0,14.0,1422-12-24,임인,계축,정축,壬寅,癸丑,丁丑,True
1426년_식년시소과_생원_문제,,,,,"방목, 연구서(44면), 실록",https://sillok.history.go.kr/id/kda_10802021_003,1426년_식년시소과_생원,소과,생원,식년시,복시,,1426.0,2.0,21.0,1426-01-05,병오,경인,경자,丙午,庚寅,庚子,False
1429년_식년시소과_생원_문제,,,,,"방목, 실록",https://sillok.history.go.kr/id/kda_11102020_002,1429년_식년시소과_생원,소과,생원,식년시,복시,,1429.0,2.0,20.0,1429-01-08,기유,병인,을묘,己酉,丙寅,乙卯,False
1432년_식년시소과_생원_문제,,,,,"방목, 연구서(48면), 실록",https://sillok.history.go.kr/id/kda_11403009_003,1432년_식년시소과_생원,소과,생원,식년시,복시,,1432.0,3.0,9.0,1432-01-28,임자,임인,무자,壬子,壬寅,戊子,False
1435년_식년시소과_생원_문제,,,,,"방목, 실록",https://sillok.history.go.kr/id/kda_11702027_001,1435년_식년시소과_생원,소과,생원,식년시,복시,,1435.0,2.0,27.0,1435-01-21,을묘,무인,계사,乙卯,戊寅,癸巳,False
1438년_식년시소과_진사_문제,,,,,"방목, 실록",https://sillok.history.go.kr/id/kda_12002007_002,1438년_식년시소과_진사,소과,진사,식년시,복시,,1438.0,2.0,7.0,1438-01-04,무오,갑인,기축,戊午,甲寅,己丑,False
1438년_식년시소과_생원_문제,,,,,"방목, 실록",https://sillok.history.go.kr/id/kda_12002020_002,1438년_식년시소과_생원,소과,생원,식년시,복시,,1438.0,2.0,20.0,1438-01-17,무오,갑인,임인,戊午,甲寅,壬寅,False
1441년_식년시소과_진사_문제,,,,,"방목, 연구서(58면), 실록",https://sillok.history.go.kr/id/kda_12302010_001,1441년_식년시소과_진사,소과,진사,식년시,복시,,1441.0,2.0,10.0,1441-01-10,신유,경인,무신,辛酉,庚寅,戊申,False
1441년_식년시소과_생원_문제,,,,,"방목, 연구서(58면), 실록",https://sillok.history.go.kr/id/kda_12302026_001,1441년_식년시소과_생원,소과,생원,식년시,복시,,1441.0,2.0,26.0,1441-01-26,신유,경인,갑자,辛酉,庚寅,甲子,False
1393년_식년시대과_전시_문제,,,,,"방목, 연구서(15면), 실록",https://sillok.history.go.kr/id/kaa_10206013_001,1393년_식년시대과_전시,대과,,식년시,전시,,1393.0,6.0,13.0,1393-04-26,계유,정사,경자,癸酉,丁巳,庚子,False
1396년_식년시대과_전시_문제,,,,,"방목, 연구서(17면), 실록",https://sillok.history.go.kr/id/kaa_10505001_001,1396년_식년시대과_전시,대과,,식년시,전시,,1396.0,5.0,1.0,1396-03-16,병자,임진,계유,丙子,壬辰,癸酉,False
1399년_식년시대과_전시_문제,,,,,"방목, 연구서(19면), 실록",https://sillok.history.go.kr/id/kba_10104005_005,1399년_식년시대과_전시,대과,,식년시,전시,,1399.0,4.0,5.0,1399-02-21,기묘,정묘,임술,己卯,丁卯,壬戌,False
1401년_증광시대과_복시(전시)_문제,策,,,"王若曰: 帝王之治, 必有其道, 帝王之學, 必有其法. 堯舜禹湯文武之爲君, 其所以爲治而所以爲學, 可得聞其詳歟? 厥後漢·魏·秦·隋·唐·宋之君治與學, 其有可法者歟? 抑無可戒者歟? 吾東方有國, 自箕子之朝鮮, 以及前朝, 其有治與學之可言者歟? 我太上王, 應運開國, 予以否德, 纘承丕緖, 夙夜祗懼, 罔知攸濟, 非不有志於治, 而未見其效, 非不有志於學, 而未見其成, 何修而可以至於二帝三王治與學之萬一歟? 爲治之道, 何者爲綱, 何者爲目, 而爲學之法, 何者爲本, 何者爲末歟? 其所以終始用力之方, 又安在乎? 諸子博通經史, 必有能言是者, 願聞其說.","방목, 연구서(21면), 실록",http://db.itkc.or.kr/inLink?DCI=ITKC_MO_0033A_0040_010_0020_2003_A006_XML,1401년_증광시대과_복시(전시),대과,,증광시,복시(전시),,1401.0,4.0,9.0,1401-03-17,신사,임진,병자,辛巳,壬辰,丙子,False
1402년_식년시대과_복시_문제,,,,自古有國家者。必立制度以興一代之治。然在草創。未遑制作。必待守成而後定。故文武造周。至成王而禮樂大備。漢自高帝以歷文，景。稽古禮文之事猶多闕焉。及至武帝。興太學。改正朔。易服色。協音律。漢家制度於是乎備。號令文章。煥焉可述。後之論者。乃以文，景比擬成，康。而不及武帝。何歟。自是厥後。世道日降。曰唐曰宋。治不古若。禮樂制度。無足議爲也。恭惟我太上王神武應期。肇開邦國。創業垂統。規模宏大。上王承緖。讓于有德。今我主上殿下以聰明冠古之資。精一執中之學。持盈守成。文致太平。禮樂之興。維其時矣。草創因循。以至今日。而禮樂之未備。制度之未定。豈無可言者歟。內而成均五部。外而府州郡縣。皆置師生。講明經術。學校不可謂不興也。然而文廟之建。踰年未成。人材之出。視古不加。何以致敎養之實。而得人材之盛歟。宗廟_享之有其制。會朝班序之有其儀。禮樂不可謂不備也。然而玄牡之用。未變其禮。是可因而不可革者歟。登歌下管之節。尙襲前朝之律。廟中之樂。其已備乎。文德武德之曲。猶雜女樂之_。_享之樂。其已正乎。且此二曲。詠歌太上受命之德。獨可奏之_享。而不可薦之宗廟歟。何以使廟樂鼎新而音律之皆協。_樂皆雅而倡優之不雜。以成治世之正音歟。儀章之等已辨。而上下服色之無定。公服可以辨色。而私服難可以有辨歟。禮典之書已成。而節文詳定之無已。將其書未備而然歟。抑奉行者不能推類以通。而必欲更定歟。何以使上下有服而不至於混淆。節文皆具而不輕於變易。以成永世之大典歟。淫祀汰矣。而巫覡之風未殄。何以使人明於義理而不惑於鬼神歟。_役_矣。而愁歎之聲未息。何以使民安於生養而不困於賦斂歟。伊欲使沿革合其宜而制度定。情文得其備而禮樂興。神人和而妖誕息。民俗美而頌聲作。致治之盛。比隆成周。以爲萬世無疆之休。必有其道。諸君子講明經濟之學久矣。其悉心以對。以副我殿下求賢圖治之美意。,실록,https://db.itkc.or.kr/dir/item?itemId=MO#dir/node?grpId=&itemId=MO&gubun=book&depth=5&cate1=Z&cate2=&dataGubun=%EC%B5%9C%EC%A2%85%EC%A0%95%EB%B3%B4&dataId=ITKC_MO_0036A_0350_050_0020&viewSync=TR,1402년_식년시대과_복시,대과,,식년시,복시,,1402.0,3.0,16.0,1402-02-04,임오,계묘,정사,壬午,癸卯,丁巳,False
1402년_식년시대과_복시(전시)_문제,,,,,"방목, 연구서(23면), 실록",https://sillok.history.go.kr/id/kca_10204003_001,1402년_식년시대과_복시(전시),대과,,식년시,복시(전시),,1402.0,4.0,3.0,1402-02-22,임오,계묘,을해,壬午,癸卯,乙亥,False
1405년_식년시대과_복시_문제,,,,,실록,https://sillok.history.go.kr/id/kca_10504021_003,1405년_식년시대과_복시,대과,,식년시,복시,,1405.0,4.0,21.0,1405-03-14,을유,경진,기유,乙酉,庚辰,己酉,False
1405년_식년시대과_전시_문제,,,,,"방목, 연구서(24면), 실록",https://sillok.history.go.kr/id/kca_10504027_001,1405년_식년시대과_전시,대과,,식년시,복시(전시),,1405.0,4.0,27.0,1405-03-20,을유,경진,을묘,乙酉,庚辰,乙卯,False
1407년_중시_문제,論,,闢四門,闢四門,실록,http://sillok.history.go.kr/id/kca_10704018_001,1407년_중시_초장,대과,,중시,전시,초장,1407.0,4.0,16.0,1407-02-29,정해,계묘,갑인,丁亥,癸卯,甲寅,False
1407년_중시_문제,表,,賀平安南,賀平安南,실록,http://sillok.history.go.kr/id/kca_10704018_001,1407년_중시_초장,대과,,중시,전시,초장,1407.0,4.0,16.0,1407-02-29,정해,계묘,갑인,丁亥,癸卯,甲寅,False
1407년_중시_문제,策,,帝王立法定制,"王若曰, 古昔帝王, 立法定制, 必因時宜, 以隆至治。 唐、虞三代致治之道, 可得聞歟? 精一執中, 堯、舜、禹相授心法; 建中建極, 商湯、周武相傳心法。 曰精曰一, 其功何異? 曰執曰建, 其義何同? 謂之中, 則未至乎極, 謂之極, 則似過乎中。 二者將安所折衷歟? 揖讓征伐, 文質損益, 事與時異, 而同歸于治, 何歟? 漢、唐以降, _于宋、元, 代各有治, 其有合乎中道而可述者歟? 予以否德, _于一國臣民之上, 雖無德敎可以及民, 庶幾夙夜思致小康, 其於帝王之心之道, 蓋嘗有志而願學焉。 聽政之暇, 覽觀經籍, 究求厥旨, 而未知所以用力之方。 動靜云爲之際, 政敎法令之間, 豈無過與不及之差者乎? 其有過而當損者何事, 有不及而當益者何事歟? 今我國家, 創業未久, 而法制尙未備; 遷都未幾, 而力役尙未_。 政治之得失, 田里之休戚, 可言者多, 姑擧其大者言之。 銓遷欲其精也, 〔而〕 僥倖冒進之未除, 考績之法, 何以合宜歟? 田制欲其正也, 而多寡高下之不均, 踏驗之事, 果能無議歟? 賦役不可不均也, 隣保之制、號牌之設, 何者可行? 漕轉不可不急也, 海運之謀、陸輸之策, 何者可用歟? 衣冠法度, 悉遵華制, 而獨女服尙仍舊俗, 是果不得而盡革者歟? 冠婚喪制, 亦可盡從華制歟? 凡此數者, 施爲之道, 必有其宜。 伊欲使其不戾乎古而不駭於今, 其術安在? 思與賢俊, 共圖庶政, 親策子大夫于庭, 願聞爲治之說。 子大夫通經術識治體, 有志斯世久矣。 其於帝王存心出治之道, 當今立法定制之宜, 稽諸古訓, 酌乎時中, 高不務於苟難, 卑不流於汚淺, 各底所蘊, 悉著于篇。 予將親覽而致用焉。","실록, 陽村集 권33","http://sillok.history.go.kr/id/kca_10704018_001, https://db.itkc.or.kr/dir/item?itemId=MO#dir/node?grpId=&itemId=MO&gubun=book&depth=5&cate1=Z&cate2=&dataGubun=%EC%B5%9C%EC%A2%85%EC%A0%95%EB%B3%B4&dataId=ITKC_MO_0036A_0350_050_0010&viewSync=TR",1407년_중시_종장,대과,,중시,전시,종장,1407.0,4.0,18.0,1407-03-02,정해,갑진,병진,丁亥,甲辰,丙辰,False
1408년_식년시대과_복시(전시)_문제,,,,,"방목, 연구서(25면), 실록",https://sillok.history.go.kr/id/kca_10803012_001,1408년_식년시대과_복시(전시),대과,,식년시,복시(전시),,1408.0,3.0,12.0,1408-02-06,무자,을묘,을유,戊子,乙卯,乙酉,False
1411년_식년시대과_복시_문제,,,,,"연구서(28면), 실록",https://sillok.history.go.kr/id/kca_11104001_002,1411년_식년시대과_복시,대과,,식년시,복시,,1411.0,4.0,1.0,1411-02-29,신묘,신묘,경신,辛卯,辛卯,庚申,False
1411년_식년시대과_전시_문제,策,,治道本末,王若曰。爲治之道。必有本末。行道之序。亦有先後。唐虞三代之治。本末先後。可得言其詳歟。孔子曰。殷因於夏禮。所損益可知也。周因於殷禮。所損益可知也。以禹湯文武之聖。其所損益之不同。何也。三代以降。稱善治者。漢唐宋而已。亦有本末先後之可言歟。漢a006_471b繼於秦。唐繼於隋。宋繼於柴周。其亦有損益而已歟。惟我國家。承前朝衰亂之季。皇考太祖。拯民塗炭之中。創業垂統。予以否德。繼述惟謹。夙夜不敢遑寧。期致乂治。然而民心習俗。尙循前朝之舊。可得無所損益而能治歟。若之何則陰陽和而風雨時。朝廷正而習俗美歟。若之何則賦役均而民_足。軍政修而士卒精。詞訟簡而_抑伸歟。若之何則民有定居而流亡歸。民不益賦而用度裕歟。三代以上之治道。可得施其萬一歟。諸子素有講論。必知其說。陳之無隱。,"방목, 연구서(28면), 실록",http://db.itkc.or.kr/inLink?DCI=ITKC_MO_0033A_0040_010_0030_2003_A006_XML,1411년_식년시대과_전시,대과,,식년시,복시(전시),,1411.0,4.0,5.0,1411-03-04,신묘,임진,갑자,辛卯,壬辰,甲子,False
1414년_식년시대과_전시_문제,策,,天人相感之道,"王若曰：天人相感之理, 可得而言其詳歟？ 從古以來, 治亂循環, 其不能長治而久安者, 何歟？堯舜禹湯文武之爲君, 其所以與天相應者, 何道歟？ 漢之_光, 宋之太祖, 其所以與天相感者, 又何道歟？ _水之治, 桑林之禱, 西土之顯, 何其應之遲, 而_水之風沙, __之_合, 陳橋之日光, 何其應之急歟？ 吾東方有國, 亦已久矣. 句_麗之日影鼈橋, 新羅之白馬金櫃, 亦可信其有感而致然歟？ 惟我太祖康獻大王, 應天順人, 奄有東方, 予以否德, 纘承丕緖, 敬天勤民, 無敢或遑, 若之何則二氣亘調, 萬物咸育, 天命以凝, 歷年以永歟？ 諸君子學聖經, 通古今, 陳之無隱.","방목, 연구서(29면), 실록",https://sillok.history.go.kr/id/kca_11403011_001,1414년_식년시대과_전시,대과,,식년시,복시(전시),,1414.0,3.0,9.0,1414-02-09,갑오,정묘,계축,甲午,丁卯,癸丑,False
1414년_알성시_문제,策,,時務知人任人,"人君之職, 莫難於知人, 尤莫難於任人。 其所以知人任人之法, 可得而聞歟? 三公論道, 六卿分職, 《周官》之遺意, 而今朝廷之盛制也。 若之何則能盡其道, 而能盡其職歟? 臺諫之設, 欲其直言正論, 而繩愆糾繆也。 往往以偏見之說, 期於必從。 欲循從諫之名, 則必至於害義, 欲加失言之責, 則必以爲拒諫。 若之何則偏見者不雜, 而正論日聞歟? 學校非不勸也, 而記誦詞章之習猶在, 眞知實踐者蓋寡。 何以使敎學俱明而人材輩出歟? 民生非不厚也, 而水旱之災屢作, 閭閻之愁嘆相仍, 何以使雨暘時若, 而家給人足歟? 伊欲能辨於任人之前, 勿疑於任人之後, 群賢盡力, 庶官無曠, 以享天心, 以底隆平之治, 其術安在? 陳之無隱。","방목, 연구서(31면), 실록",http://sillok.history.go.kr/id/kca_11407017_001,1414년_알성시,대과,,알성시,전시,,1414.0,7.0,17.0,1414-06-22,갑오,신미,계해,甲午,辛未,癸亥,False
1416년_별시대과_초시_문제,,,,,실록,https://sillok.history.go.kr/id/wca_11608011_003,1416년_별시대과_초시,대과,,별시,초시,,1416.0,8.0,11.0,1416-07-10,병신,병신,기해,丙申,丙申,己亥,False
1416년_별시대과_전시_문제,策,,忠孝,"王若曰：蓋爲臣之道, 在於盡忠, 爲子之職, 在於盡孝, 若之何則能盡其忠而義於家邦, 能盡其孝而友于兄弟歟？ 世子, 君之嫡長, 國之儲副, 臣子之責具焉. 忠孝之道, 在所當盡, 三代盛時, _養之法, 可得聞其詳歟？ 自漢以來, 歷代皆有世子, 其有可法可戒者歟? 輔臣, 君之股肱, 國之柱石, 安危之任, 係焉. 忠義之道, 亦所當盡, 三代盛時, 任用之道, 亦可得而聞其詳歟？ 自漢以來, 歷代皆有輔臣其亦不有可戒可法者歟? 予以否德托于臣民之上, 夙夜祗懼思所以盡君道, 伊欲使爲臣者, 皆盡其忠義, 爲子者, 皆盡其孝友, _陽和而風雨時, 治_明而習俗美, 其道何由? 諸子學通古今, 願聞其說, 陳之無隱.","방목, 연구서(32면), 실록","방목, 연구서(32면), 실록(http://sillok.history.go.kr/id/wca_11608015_001)",1416년_별시대과_전시,대과,,별시,전시,,1416.0,8.0,15.0,1416-07-14,병신,병신,계묘,丙申,丙申,癸卯,False
1416년_중시_문제,策,,忠孝,"王若曰：蓋爲臣之道, 在於盡忠, 爲子之職, 在於盡孝, 若之何則能盡其忠而義於家邦, 能盡其孝而友于兄弟歟？ 世子, 君之嫡長, 國之儲副, 臣子之責具焉. 忠孝之道, 在所當盡, 三代盛時, _養之法, 可得聞其詳歟？ 自漢以來, 歷代皆有世子, 其有可法可戒者歟? 輔臣, 君之股肱, 國之柱石, 安危之任, 係焉. 忠義之道, 亦所當盡, 三代盛時, 任用之道, 亦可得而聞其詳歟？ 自漢以來, 歷代皆有輔臣其亦不有可戒可法者歟? 予以否德托于臣民之上, 夙夜祗懼思所以盡君道, 伊欲使爲臣者, 皆盡其忠義, 爲子者, 皆盡其孝友, _陽和而風雨時, 治_明而習俗美, 其道何由? 諸子學通古今, 願聞其說, 陳之無隱.","방목, 연구서(32면), 실록","방목, 연구서(32면), 실록(http://sillok.history.go.kr/id/wca_11608015_001)",1416년_중시,대과,,중시,전시,,1416.0,8.0,15.0,1416-07-14,병신,병신,계묘,丙申,丙申,癸卯,False
1417년_식년시대과_복시_문제,,,,,실록,https://sillok.history.go.kr/id/kca_11703016_002,1417년_식년시대과_복시,대과,,식년시,복시,,1417.0,3.0,16.0,1417-02-19,정유,계묘,병자,丁酉,癸卯,丙子,False
1417년_식년시대과_복시(전시)_문제,,,,,"방목, 연구서(33면), 실록",https://sillok.history.go.kr/id/kca_11704008_001,1417년_식년시대과_복시(전시),대과,,식년시,복시(전시),,1417.0,4.0,8.0,1417-03-13,정유,갑진,기해,丁酉,甲辰,己亥,False
1419년_증광시대과_복시_문제,,,,,"연구서(37면), 실록",https://sillok.history.go.kr/id/kda_10103027_003,1419년_증광시대과_복시,대과,,증광시,복시,,1419.0,3.0,27.0,1419-02-22,기해,정묘,정유,己亥,丁卯,丁酉,False
1419년_증광시대과_전시_문제,策,,,,"방목, 연구서(37면), 실록",http://sillok.history.go.kr/id/kda_10103029_001,1419년_증광시대과_전시,대과,,증광시,전시,,1419.0,3.0,29.0,1419-02-24,기해,정묘,기해,己亥,丁卯,己亥,False
1420년_식년시대과_복시_문제,,,,,"방목, 연구서(39면), 실록",https://sillok.history.go.kr/id/kda_10202025_006,1420년_식년시대과_복시,대과,,식년시,복시,,1420.0,2.0,25.0,1420-01-03,경자,무인,임신,庚子,戊寅,壬申,True
1420년_식년시대과_복시(전시)_문제,策 ,,務農_禮議_城郭_水軍,,"방목, 연구서(39면), 실록",https://sillok.history.go.kr/id/kda_10203018_001,1420년_식년시대과_복시(전시),대과,,식년시,복시(전시),,1420.0,3.0,18.0,1420-01-25,경자,무인,갑오,庚子,戊寅,甲午,True
1423년_식년시대과_복시_문제,,,,,"방목, 연구서(40면), 실록",https://sillok.history.go.kr/id/kda_10503023_002,1423년_식년시대과_복시,대과,,식년시,복시(회시),,1423.0,3.0,23.0,1423-02-03,계묘,을묘,갑인,癸卯,乙卯,甲寅,False
1423년_식년시대과_전시_문제,策,,天道感應之理,"人事感於下, 天道應於上, 此古今自然之理也。 若稽經史, 或有其應, 或無其應, 其所以然之故, 可得而聞歟? 鳳來儀、海不波、寶鼎出, 皆瑞也。 九年水、七年旱、__災, 皆異也。 是皆有感以致歟? 無感而自致歟? 蒼麟、白鹿、天書、芝草, 可疑之祥也。 宋眞則幾致太平, 石趙則終以不振。 事同而盛衰之異何也? 予自嗣位以來, 仰思太祖、太宗緖業之重、持守之艱, 庶幾萬一, 夙夜孜孜者, 蓋有年于玆矣。 然而昧於天人之理, 施爲之際, 未得其宜。 近年水旱相仍, 逮于今年, 饑饉_臻, 百姓流散, 平安、江原二道尤甚。 其所以致此者何故? 將五事之失歟? 抑敎條之戾歟? 豈有司之奉行, 徒爲文具, 無誠心愛民歟? 無奈民有所怨, 予不及聞歟? 變殄召和, 其道何由? 講求荒政, 發倉賑民, 而民未免菜色何也? 使民不啼飢, 野無遺_, 其術安在? 平安、咸吉隣於野人, 屢有警報, 兩道所儲, 若_於救荒, 脫有不虞, 其將何以備糧餉? 《經》曰: ""致中和, 天地位, 萬物育。"" 盡斯道, 災異可消, 泰和可期歟? 子大夫通經術、識治體, 以待可言之日久矣。 其悉心以對, 予將親覽焉。","방목, 연구서(40면), 실록",http://sillok.history.go.kr/id/kda_10503028_001,1423년_식년시대과_전시,대과,,식년시,전시,,1423.0,3.0,28.0,1423-02-08,계묘,을묘,기미,癸卯,乙卯,己未,False
1426년_식년시대과_전시_문제,策,,急務咸吉慶源之事,"王若曰, 蓋聞堯、舜之智, 必先急務, 孟子之格言也。 言治而不先急務, 皆苟而已。 今我國家, 太祖康獻大王受天明命, 肇造丕基。 惟我太宗恭定大王神功聖德, 卓冠前古, 事大以禮, 而帝嘉至誠。 交隣有道, 而倭邦賓服, 朝野昇平, 民安物阜, 蓋將四十年于玆矣。 予承丕緖, 夙夜祗懼, 不敢遑寧, 期至長治久安之道, 獨此咸吉 慶源之事, 有可議者焉。 或謂公險以南, 國之舊封, 宜置軍民, 以守疆域, 或謂慶源郡, 三面受敵, 而人民鮮少, 艱於禦侮, 顧其土地狹隘, 民不衆居, 宜罷慶源之守, 移於鏡城, 或謂慶源置兵, 太宗成憲, 不可更改。 是三說者, 果孰得而孰失歟? 閭延、江界等地, 隣於野人之境, 往來索糧, 殆無虛月。 將欲隨索隨與, 官無所儲, 無以應其溪壑之慾。 彼若不遂所欲, 必生怨恨, 以構邊境之_, 何以使之畏威懷惠, 而邊民按堵歟? 此皆今日之急務, 寡人之所欲聞也。 子大夫通經史、識治體, 其於當世之務, 講之熟矣, 其各悉心以對。 其他時政之失、民生之休戚, 亦各陳之無隱, 以副予求言之意。","방목, 연구서(43면), 실록",http://sillok.history.go.kr/id/kda_10804011_002,1426년_식년시대과_전시,대과,,식년시,전시,,1426.0,4.0,11.0,1426-02-25,병오,신묘,기축,丙午,辛卯,己丑,False
