,id,name,year,writer,sort,description,grade,rank,above,height,width,provider,원소장처,webResourceURL,reference
,S16460301SS0001,1646년_식년_진사시_복시_신채(申埰)_시권,1646,신채(申埰),소과,1646년 식년 진사시 복시에서 신채(申埰)가 작성한 답안지,미상,三之□(十),,74,227,한국고문서자료관,의성 아주신씨 호계 가문,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1646.0000-20101008.B052a_077_00119_001,"1651년 진사시 시제를 확인할 수 없으나, 시권(띠지)과 방목상의 등제가 동일하므로 1646년 진사시 복시의 시권으로 추정됨."
,SE16510402SF1001,1651년_식년_진사시_초시_이해(李楷)_시권,1651,이해(李楷),소과,1651년 식년 진사시 초시에서 이해(李楷)가 작성한 답안지,三下,二之二,Y(미상),65,200,한국고문서자료관,영해 인량 재령이씨 충효당,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1650.0000-20101008.B021a_033_00488_XXX,"이해는 문과 급제 기록만 있고(1657년), 소과 급제 기록은 없는데, 1651년 사마방목에 기록된 진사시 복시의 시제와 이 시권의 시제가 일치하지 않는 것으로 볼 때 1651년 진사시 초시의 시권으로 추정됨."
,SE16510404SF3001,1651년_식년_생원시_초시_장영(張𨥭)_시권,1651,장영(張𨥭),소과,1651년 식년 생원시 초시에서 장영(張𨥭)이 작성한 답안지,三中,一之三,Y(미상),80.5,210,한국고문서자료관,구미 옥산 인동장씨 여헌 종가,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1651.0000-20101008.B055a_079_00490_XXX,1651년 사마방목에 기록된 생원시 복시의 시제와 이 시권의 시제가 일치하지 않는 것으로 볼 때 1651년 생원시 초시의 시권으로 추정됨.
,S16510709SS0101,1651년_식년_생원시_복시_박시우(朴施雨)_시권,1651,박시우(朴施雨),소과,1651년 식년 생원시 복시에서 박시우(朴施雨)가 작성한 답안지,二下,一之■(二),Y(更),71.9,183.5,한국고문서자료관,봉화 꽃내 무안박씨 회이당 박한 종가,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BKHD%2BKSM-XD.1651.0000-20161223.C0806_002_00065_XXX,"명지 부분이 훼손되어 응시자의 정보를 알 수 없으나, 『辛卯式年司馬榜目』에 기록된 시제와 일치하여 1651년 식년시 소과의 시권임을 알 수 있고, 시권(띠지)과 방목상의 등제가 일치하여 박시우의 시권임을 추정할 수 있음."
,SE16520914SF1001,1652년_증광_진사시_초시_손익(孫釴)_시권,1652,손익(孫釴),소과,1652년 증광 진사시 초시에서 손익(孫釴)이 작성한 답안지,三下,一之五,Y(外),73,212.3,한국고문서자료관,경주 양동 경주손씨 송첨 종가,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BKHD%2BKSM-XD.1652.0000-20180108.C0603_002_01234_XXX,1652년 증광시 복시의 시제와 일치하지 않으므로 초시의 시권으로 추정 됨.
,SE16540809SF3001,1654년_식년_생원시_초시_손여직(孫汝稷)_시권,1654,손여직(孫汝稷),소과,1654년 식년 생원시 초시에서 손여직(孫汝稷)이 작성한 답안지,次下,三之十六,Y(外),72.3,206.8,한국고문서자료관,경주 양동 경주손씨 송첨 종가,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BKHD%2BKSM-XD.1654.0000-20180108.C0603_002_01235_XXX,"1654년 소과 초시 및 복시 시제가 방목에 남아 있지 않은데, 손여직은 대/소과 급제 기록이 없으므로 1654년 생원시 초시의 시권으로 추정 됨."
,S16601112BT1,1660년_증광_문과_전시_박세당(朴世堂)_시권,1660,박세당(朴世堂),대과,1660년 증광 문과 전시에서 박세당(朴世堂)이 작성한 답안지,미상,一之一,,73,281,한국고문서자료관,의정부 장암 반남박씨,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1660.1111-20101008.B070a_A01_00296_XXX,
,SE16620820SF3001,1662년_식년_생원시_초시_손익(孫釴)_시권,1662,손익(孫釴),소과,1662년 식년 생원시 초시에서 손익(孫釴)이 작성한 답안지,更,三之十七,Y(外),67.3,229.8,한국고문서자료관,경주 양동 경주손씨 송첨 종가,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BKHD%2BKSM-XD.1662.0000-20180108.C0603_002_01236_XXX,"1662년 소과 초시 및 복시 시제가 방목에 남아 있지 않은데, 손익은 대/소과 급제 기록이 없으므로 1662년 생원시 초시의 시권으로 추정 됨."
,S16650412BT1,1665년_정시_문과_전시_임영(林泳)_시권,1665,임영(林泳),대과,1665년 정시 문과 전시에서 임영(林泳)이 작성한 답안지,次上,미상,,137,129.7,한국고문서자료관,나주 회진 나주임씨 창계 후손가,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1665.0000-20101008.B044a_067_00292_XXX,
,S16660126SS0201,1666년_식년_생원시_복시_임영(林泳)_시권,1666,임영(林泳),소과,1666년 식년 생원시 복시에서 임영(林泳)이 작성한 답안지,二下,一之一,Y(更),75,196.8,한국고문서자료관,나주 회진 나주임씨 창계 후손가,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1666.0000-20101008.B044a_067_00293_XXX,
,S16660126SS1201,1666년_식년_진사시_복시_장만기(張萬紀)_시권,1666,장만기(張萬紀),소과,1666년 식년 진사시 복시에서 장만기(張萬紀)가 작성한 답안지,更,三之四十六,Y(外),77.5,235,한국고문서자료관,구미 옥산 인동장씨 여헌 종가,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1666.0000-20101008.B055a_079_00492_XXX,
,S16770000,1677년_미상_장만기(張萬紀)_시권,1677,장만기(張萬紀),대과,1677년에 장만기(張萬紀)가 작성한 답안지,미상,二之十五,,50.5,2.1,한국고문서자료관,구미 옥산 인동장씨 여헌 종가,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1667.0000-20101008.B055a_079_00493_XXX,
,S16711129BT1,1671년_정시_문과_전시_임영(林泳)_시권,1671,임영(林泳),대과,1671년 정시 문과 전시에서 임영(林泳)이 작성한 답안지,三中,二之一,,146,119.2,한국고문서자료관,나주 회진 나주임씨 창계 후손가,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1671.0000-20101008.B044a_067_00294_XXX,
,S16730221SS0101,1673년_식년_생원시_복시_이후영(李後榮)_시권,1673,이후영(李後榮),소과,1673년 식년 생원시 복시에서 이후영(李後榮)이 작성한 답안지,次下,三之二十五(*같은해 진사시에 입격한 등제와 같음),Y(外),74,244.5,한국고문서자료관,안동 법흥 고성이씨 임청각,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1673.0000-20101008.B032a_049_00282_XXX,
,S16780000,1678년_미상_장만기(張萬紀)_시권,1678,장만기(張萬紀),대과,1678년에 장만기(張萬紀)가 작성한 답안지,미상,三之十■,,72.5,270,한국고문서자료관,구미 옥산 인동장씨 여헌 종가,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1678.0000-20101008.B055a_079_00494_XXX,"응시연령으로 볼 때 1678년 증광시 복시 종장의 대책문인 듯하나, 근거가 없음."
,S16841113BT1,1684년_식년_문과_전시_이후영(李後榮)_시권,1684,이후영(李後榮),대과,1684년 식년 문과 전시에서 이후영(李後榮)이 작성한 답안지,미상,三之一,,71,323,한국고문서자료관,안동 법흥 고성이씨 임청각,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1684.0000-20101008.B032a_049_00285_XXX,
,S16890000,1689년_미상_장대재(張大載)_시권,1689,장대재(張大載),,1689년에 장대재(張大載)가 작성한 답안지,미상,미상,,41.5,334,한국고문서자료관,구미 옥산 인동장씨 여헌 종가,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1689.0000-20101008.B055a_079_00495_XXX,
,SE16920820SF1001,1692년_식년_진사시_초시_이수담(李壽聃)_시권,1692,이수담(李壽聃),소과,1692년 식년 진사시 초시에서 이수담(李壽聃)이 작성한 답안지,更,三之十三,Y(外),206,71,한국고문서자료관,경주 옥산 여주이씨 독락당,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1692.0000-20101008.B043a_065_00628_XXX,시제를 확인할 수 없으나 응시 연도로 추정함.
,S16930221SS0201,1693년_식년_생원시_복시_권이진(權以鎭)_시권,1693,권이진(權以鎭),소과,1693년 식년 생원시 복시에서 권이진(權以鎭)이 작성한 답안지,三下,二之一,Y(外),73.3,196,한국고문서자료관,대전 무수동 안동권씨 유회당 종가,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1693.1111-20101008.B059a_085_00579_XXX,
,S16930000,1693년_미상_이수담(李壽聃)_시권,1693,이수담(李壽聃),소과,1693년에 이수담(李壽聃)이 작성한 답안지,次上,미상,,174,66.5,한국고문서자료관,경주 옥산 여주이씨 독락당,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1694.0000-20101008.B043a_065_00629_XXX,
,S16941022BT1,1694년_별시_문과_전시_권이진(權以鎭)_시권,1694,권이진(權以鎭),대과,1694년 별시 문과 전시에서 권이진(權以鎭)이 작성한 답안지,미상,三之三,,77,300,한국고문서자료관,대전 무수동 안동권씨 유회당 종가,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1694.1111-20101008.B059a_085_00580_XXX,
,S16960000,1696년_미상_김수종(金守宗)_시권,1696,김수종(金守宗),소과,1696년에 김수종(金守宗)이 작성한 답안지,三中,一之二,Y(更),75,119,한국고문서자료관,부안 우반 부안김씨,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1696.0000-20101008.B002a_002_00605_XXX,
,SE16980830SF3001,1698년_식년_생원시_초시_이수담(李壽聃)_시권,1698,이수담(李壽聃),소과,1698년 식년 생원시 초시에서 이수담(李壽聃)이 작성한 답안지,更,三之二十六,Y(外),202,72,한국고문서자료관,경주 옥산 여주이씨 독락당,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1698.0000-20101008.B043a_065_00630_XXX,이수담이 다음해인 1699년 식년 생원시에 합격하였으므로 그 전 해에 보는 초시의 시권으로 추정 됨.
,SE16980828SF1001,1698년_식년_진사시_초시_이수담(李壽聃)_시권,1698,이수담(李壽聃),소과,1698년 식년 진사시 초시에서 이수담(李壽聃)이 작성한 답안지,更,三之九,Y(外),199,72,한국고문서자료관,경주 옥산 여주이씨 독락당,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1698.0000-20101008.B043a_065_00631_XXX,이수담이 다음해인 1699년 식년 생원시에 합격하였으므로 그 전 해에 보는 초시의 시권으로 추정 됨.
,S16990312SS3201,1699년_식년_생원시_복시_이수담(李壽聃)_시권,1699,이수담(李壽聃),소과,1699년 식년 생원시 복시에서 이수담(李壽聃)이 작성한 답안지,次下,三之四十,Y(外),191,69,한국고문서자료관,경주 옥산 여주이씨 독락당,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1699.0000-20101008.B043a_065_00632_XXX,
,S17020325BT1,1702년_알성_문과_전시_이해조(李海朝)_시권,1702,이해조(李海朝),대과,1702년 알성 문과 전시에서 이해조(李海朝)가 작성한 답안지,三下,미상,,122,91,한국고문서자료관,제천 한수 연안이씨,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1702.1111-20101008.B035a_055_00364_XXX,
,S17051101SS3101,1705년_증광_생원시_복시_박경지(朴敬祉)_시권,1705,박경지(朴敬祉),소과,1705년 증광 생원시 복시에서 박경지(朴敬祉)가 작성한 답안지,更,三之五十八,Y(미상),71.2,187.8,한국고문서자료관,봉화 꽃내 무안박씨 회이당 박한 종가,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BKHD%2BKSM-XD.1705.0000-20161223.C0806_002_00066_XXX,
,SE17050810SF3001,1705년_증광_생원시_초시_박경지(朴敬祉)_시권,1705,박경지(朴敬祉),소과,1705년 생원시 초시에서 박경지(朴敬祉)가 작성한 답안지,更,三之二十,Y(外),72.9,142.9,한국고문서자료관,봉화 꽃내 무안박씨 회이당 박한 종가,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BKHD%2BKSM-XD.1705.0000-20161223.C0806_002_00067_XXX,"별도의 이미지로 된 1705년 생원시 초시 박경지 시권의 봉미(封彌) 부분에 시제가 적혀 있는데, 이 시권과 내용이 일치하는 것으로 볼 때 해당 이미지가 이 시권의 봉미 부분임을 추정할 수 있음."
,S17070000,1707년_미상_정석삼(鄭錫三)_시권,1707,정석삼(鄭錫三),,1707년에 정석삼(鄭錫三)이 작성한 답안지,미상,一之一,,54.6,270.5,한국고문서자료관,안성 보체 동래정씨 정홍순 종가,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BKHD%2BKSM-XD.1707.0000-20170801.C0601_002_00327_XXX,
,S17100511SS121,1710년_증광_진사시_복시_김수종(金守宗)_시권,1710,김수종(金守宗),소과,1710년 증광 진사시 복시에서 김수종(金守宗)이 작성한 답안지,次中,二之二十五,Y(外),미상,미상,한국고문서자료관,부안 우반 부안김씨,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1710.0000-20101008.B002a_002_00606_XXX,
,SS17100000S1,1710년_진사시_황덕배(黃德培)_시권,1710,황덕배(黃德培),소과,1710년 진사시에서 황덕배(黃德培)가 작성한 답안지,미상,三之一,,68,185,한국고문서자료관,부여·강화·영주 창원황씨,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1711.0000-20101008.B008a_009_01047_XXX,
,S17110220SS311,1711년_식년_생원시_복시_유원현(柳元鉉)_시권,1711,유원현(柳元鉉),소과,1711년 식년 생원시 복시에서 유원현(柳元鉉)이 작성한 답안지,미상,三之七十,,68,106,한국고문서자료관,안동 수곡 전주류씨 무실 종가,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1711.0000-20101008.B029a_044_00271_XXX,
,S17110404BT1,1711년_식년 _문과_전시_정석삼(鄭錫三)_시권,1711,정석삼(鄭錫三),대과,1711년 식년  문과 전시에서 정석삼(鄭錫三)이 작성한 답안지,미상,二之三,,73,16,한국고문서자료관,안성 보체 동래정씨 정홍순 종가,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BKHD%2BKSM-XD.1711.0000-20170801.C0601_002_00331_XXX,
,S17200000,1720년_미상_이세침(李世琛)_시권,1720,이세침(李世琛),대과,1720년 문과에서 이세침(李世琛)이 작성한 답안지,미상,一之二,,46,254.5,한국고문서자료관,칠곡 석전 광주이씨,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1720.0000-20101008.B063a_092_00391_XXX,"1721년 정시의 초시에 작성한 시권으로 추정되나, 초시에 대한 정보가 없어 확정할 수 없음."
,S17150000,1715년_미상_손맹걸(孫孟杰)_시권,1715,손맹걸(孫孟杰),소과,1715년 진사시에서 손맹걸(孫孟杰)이 작성한 답안지,次下,三之十八,,73,203.7,한국고문서자료관,경주 양동 경주손씨 송첨 종가,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BKHD%2BKSM-XD.1721.0000-20180108.C0603_002_01237_XXX,"1715년 식년 진사시의 초시에 작성한 시권으로 추정되나, 초시에 대한 정보가 없어 확정 불가."
,SE17221017SF300,1722년_증광_생원시_초시_손삼걸(孫三杰)_시권,1722,손삼걸(孫三杰),소과,1722년 증광 생원시 초시에서 손삼걸(孫三杰)이 작성한 답안지,三中,二之二,,70.3,182.7,한국고문서자료관,경주 양동 경주손씨 송첨 종가,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BKHD%2BKSM-XD.1722.0000-20180108.C0603_002_01238_XXX,
,S17230202SS111,1723년_증광_진사시_복시_오수엽(吳遂燁)_시권,1723,오수엽(吳遂燁),소과,1723년 증광 진사시 복시에서 오수엽(吳遂燁)이 작성한 답안지,미상,一之一(1등 제1인),,69,83,한국고문서자료관,용인 오산 해주오씨 추탄 종가,"명지 부분 - https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1723.0000-20101008.B024a_036_00458_XXX
답안 부분 - https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.0000.0000-20101008.B024a_036_00463_XXX",
,S17260926SS313,1726년_식년_생원시_복시_황덕배(黃德培)_시권,1726,황덕배(黃德培),소과,1726년 식년 생원시 복시에서 황덕배(黃德培)가 작성한 답안지,미상,二之十五,,70,202,한국고문서자료관,부여·강화·영주 창원황씨,https://archive.aks.ac.kr/insp/item.do#view.do?itemId=insp&gubun=form&upPath=02%5E0204%5E020451&dataId=G002%2BAKS%2BKSM-XD.1726.0000-20101008.B008a_009_01049_XXX,
