q_id,contents,category
15,"人君之職, 莫難於知人, 尤莫難於任人。 其所以知人任人之法, 可得而聞歟? 三公論道, 六卿分職, 《周官》之遺意, 而今朝廷之盛制也。 若之何則能盡其道, 而能盡其職歟? 臺諫之設, 欲其直言正論, 而繩愆糾繆也。 往往以偏見之說, 期於必從。 欲循從諫之名, 則必至於害義, 欲加失言之責, 則必以爲拒諫。 若之何則偏見者不雜, 而正論日聞歟? 學校非不勸也, 而記誦詞章之習猶在, 眞知實踐者蓋寡。 何以使敎學俱明而人材輩出歟? 民生非不厚也, 而水旱之災屢作, 閭閻之愁嘆相仍, 何以使雨暘時若, 而家給人足歟? 伊欲能辨於任人之前, 勿疑於任人之後, 群賢盡力, 庶官無曠, 以享天心, 以底隆平之治, 其術安在? 陳之無隱。",策
16,"王若曰：蓋爲臣之道, 在於盡忠, 爲子之職, 在於盡孝, 若之何則能盡其忠而義於家邦, 能盡其孝而友于兄弟歟？ 世子, 君之嫡長, 國之儲副, 臣子之責具焉. 忠孝之道, 在所當盡, 三代盛時, _養之法, 可得聞其詳歟？ 自漢以來, 歷代皆有世子, 其有可法可戒者歟? 輔臣, 君之股肱, 國之柱石, 安危之任, 係焉. 忠義之道, 亦所當盡, 三代盛時, 任用之道, 亦可得而聞其詳歟？ 自漢以來, 歷代皆有輔臣其亦不有可戒可法者歟? 予以否德托于臣民之上, 夙夜祗懼思所以盡君道, 伊欲使爲臣者, 皆盡其忠義, 爲子者, 皆盡其孝友, _陽和而風雨時, 治_明而習俗美, 其道何由? 諸子學通古今, 願聞其說, 陳之無隱.",策
17,務農_禮議_城郭_水軍,策 
18,"人事感於下, 天道應於上, 此古今自然之理也。 若稽經史, 或有其應, 或無其應, 其所以然之故, 可得而聞歟? 鳳來儀、海不波、寶鼎出, 皆瑞也。 九年水、七年旱、__災, 皆異也。 是皆有感以致歟? 無感而自致歟? 蒼麟、白鹿、天書、芝草, 可疑之祥也。 宋眞則幾致太平, 石趙則終以不振。 事同而盛衰之異何也? 予自嗣位以來, 仰思太祖、太宗緖業之重、持守之艱, 庶幾萬一, 夙夜孜孜者, 蓋有年于玆矣。 然而昧於天人之理, 施爲之際, 未得其宜。 近年水旱相仍, 逮于今年, 饑饉_臻, 百姓流散, 平安、江原二道尤甚。 其所以致此者何故? 將五事之失歟? 抑敎條之戾歟? 豈有司之奉行, 徒爲文具, 無誠心愛民歟? 無奈民有所怨, 予不及聞歟? 變殄召和, 其道何由? 講求荒政, 發倉賑民, 而民未免菜色何也? 使民不啼飢, 野無遺_, 其術安在? 平安、咸吉隣於野人, 屢有警報, 兩道所儲, 若_於救荒, 脫有不虞, 其將何以備糧餉? 《經》曰: ""致中和, 天地位, 萬物育。"" 盡斯道, 災異可消, 泰和可期歟? 子大夫通經術、識治體, 以待可言之日久矣。 其悉心以對, 予將親覽焉。",策
19,"王若曰, 蓋聞堯、舜之智, 必先急務, 孟子之格言也。 言治而不先急務, 皆苟而已。 今我國家, 太祖康獻大王受天明命, 肇造丕基。 惟我太宗恭定大王神功聖德, 卓冠前古, 事大以禮, 而帝嘉至誠。 交隣有道, 而倭邦賓服, 朝野昇平, 民安物阜, 蓋將四十年于玆矣。 予承丕緖, 夙夜祗懼, 不敢遑寧, 期至長治久安之道, 獨此咸吉 慶源之事, 有可議者焉。 或謂公險以南, 國之舊封, 宜置軍民, 以守疆域, 或謂慶源郡, 三面受敵, 而人民鮮少, 艱於禦侮, 顧其土地狹隘, 民不衆居, 宜罷慶源之守, 移於鏡城, 或謂慶源置兵, 太宗成憲, 不可更改。 是三說者, 果孰得而孰失歟? 閭延、江界等地, 隣於野人之境, 往來索糧, 殆無虛月。 將欲隨索隨與, 官無所儲, 無以應其溪壑之慾。 彼若不遂所欲, 必生怨恨, 以構邊境之_, 何以使之畏威懷惠, 而邊民按堵歟? 此皆今日之急務, 寡人之所欲聞也。 子大夫通經史、識治體, 其於當世之務, 講之熟矣, 其各悉心以對。 其他時政之失、民生之休戚, 亦各陳之無隱, 以副予求言之意。",策
20,擬本國請免金銀方物,表
21,"王若曰: ""自古帝王之爲治, 必立一代之制度, 稽諸方策, 可見矣。 制田之法, 昉於何時? 夏后氏以貢、殷人以助、周人以徹, 僅見於傳記。 三代之法, 可行於今日歟? 秦廢井田, 漢因之, 文、景之治, 幾於三代, 新 _復古, 百姓愁怨, 其故何也? 唐之租庸調, 取法於何代歟? 百姓賴以富庶, 先儒以爲近古, 其亦可施於後世歟? 皇明動遵古制, 而取夏后之貢, 豈其行之便易歟?""惟我太祖康獻大王, 化家爲國, 首正田制, 太宗恭定大王, _追先志, 懷保小民。 肆予寡昧, 嗣承丕基, 仰惟祖宗之訓, 期至隆平之治, 未得其道, 顧何修而致歟? 嘗聞致治之要, 莫先於愛民, 愛民之始, 惟取民有制耳。 今之取於民, 莫田制貢賦之爲重。 若田制則歲揀朝臣, 分遣諸道, 踏驗損實, 期於得中, 間有奉使者, 不稱予意, 不恤民隱, 予甚非之。 議者以爲徒擾州傳, 不若委之監司之爲愈。 又有以監司務煩, 不暇兼此二者, 互相咎之, 未得其制。 意其別有可行之法歟? 損實踏驗, 苟循愛憎, 高下在手, 民受其害。 欲救斯弊, 當於貢助求之。 助法, 必井田而後行。 歷代中國, 尙且不能, 況我國山川峻險, 原_回互, 其不可也明矣。 貢法載於《夏書》, 雖周亦助, 而鄕遂用貢, 但以其較數歲之中, 以爲常, 謂之不善, 用貢法而去。 所謂不善, 其道何由? 至於貢賦, 則古者任土作貢, 未嘗責其所無。 我朝嘗置都監, 酌國用經費之數, 議遠邇土物之宜, 詳定不爲不悉, 第以壤地偏小, 而用度浩繁, 故未克盡如古制。 邊海州郡, 或賦以山郡之産, 所貢非所産, 民甚病焉。 議者爭言: ""悉移所産之地之便。"" 又有以爲: ""分之, 尙且爲難, 倂則_可能堪?"" 將何以處之? 孟子曰: ""仁政必自經界始。"" 有子曰: ""百姓足, 君孰與不足!"" 予雖_德, 竊有志於斯焉。 子大夫通經術、識治體, 講之於平日熟矣, 其悉陳無隱, 予將採擇而施用焉。",策
22,"蓋聞古先哲王之治天下國家也, 其大經大法, 未嘗不同, 而制度施爲, 不能無損益之異。 三代以上, 不可尙已, 秦、漢以降, 爲治規模, 亦有可取者歟? 惟我太祖、太宗創業垂統, 立經陳紀, 所以貽厥孫謀者至矣。 予以否(復)〔德〕 , _承丕緖, 夙夜祗懼, 思欲繼述, 以臻至治, 而政事典禮之可議者, 容有一二焉。 古者, 天子祭七廟, 諸(候)〔侯〕 祭五廟, 大夫三, 官師二, 庶民一, 見於禮經, 而國家所遵也。 夫天子諸侯親盡, 而遷于_廟, 若士大夫, 父爲大夫, 而祭三代, 及其沒也, 子爲匹庶, 則神主之不當祭者, 欲藏於夾室, 則嫌於_廟之制, 欲藏諸正寢, 則不幾於(藝)〔褻〕 慢乎? 或者引程、朱之說, 以爲: ‘下至士庶, 皆得祭四親,’ 不知二子之說, 何所據乎? 禹平水土, 因山川之勢, 別九州之域, 至于成周, 有職方氏辨十有二州之區, 秦幷天下, 置三十六郡, 降及李唐, 分爲十五道。 其沿革之詳, 可得而言歟? 國家府州郡縣之疆理, 又因高麗之久, 或犬牙相錯, 或斗入他境。 欲勿改乎故, 則差役訴訟之往來、租稅__之轉輸, 弊莫甚焉。 若欲更張, 悉正疆理, 戶口以之而增減, 壤地以之而變易, 州縣名實, 大相遼遠, 將何以處之? 周有六卿, 漢置九卿, 設官分職, 各有攸掌。 國家置憲府掌邦憲, 刑曹掌邦刑, 漢城府肅淸都下, 都官辨決詞訟, 庶幾吏盡其職, 而民無抱屈者矣。 然訟而不得者, 動稱誤決, 訟于憲府, 以至_鼓申訴。 若移憲府刑曹, _令論辨, 則不得專心於官守, 有違設官分職之意, 若待決訟官吏之遞代, 則訴_之輩, 久不得伸。 其輕重緩急, 若之何而得其當歟? 子大夫積學明經, 其於古今之宜、政事之要, 方將推以待用, 其悉心以對, 將以觀明體適用之學。",策
23,擬贊成權近進_風七月圖,箋
24,使民知禮讓,策
25,"王若曰: 今國家之事, 可言者多矣, 姑擧其一二言之。 輪對, 所以盡下情、察賢否也, 然其弊或至於讒間忠賢; 婚禮, 所以正人倫、順陰陽也, 然土風男歸女第, 其來已久, 人情安之, 未易猝變; 臺諫風聞, 已有著令, 所以杜告_之端也, 然有妨於振紀綱、正風俗。 此三者利害相關, 議者紛_, 莫適所從。 歷代可法之迹、當今可行之術, 陳之無隱, 將以觀適用之學。",策
26,"王若曰: 爲政之道, 必法乎古, 唐、虞、三代之治, 可盡行於今歟? 漢、唐以後, 其所施爲, 亦有可法者歟? 恭惟我太祖、太宗, 受天景命, 創業垂統。 予承丕緖, 夙夜祗懼, 仰惟前代時若立政立事, 期至于治。 古者王公子弟, 無不入學, 自敎法一廢, 率多驕奢之習, 未聞忠孝之道, 爰立宗學, 置博士以敎之, 然爲子弟者, 或不遜志以自勉, 爲博士者, 未能忘勢而敦勸。 伊欲使師弟, 各盡其職, 以至有成, 其道何由? 戶口之法, 歷代所重, 莫不纖悉, 我國雖有其令, 未盡詳明, 漏戶隱丁, 什常八九, 今欲盡刷無遺, 則民無餘力, 或生困苦。 伊欲使戶口實而勞逸均, 其術安在? 近者號牌之設, 利害之論紛_, 竟莫之行, 固不可行歟? 寓兵於農, 古之良法, 唐之府兵, 尙有遺意, 張說變古而兵農始判, _不能復。 我國籍民爲兵, 庶幾於古, 然如有緩急, 臨時調發, 未閑進退之方, 盡室而行, 遂廢農桑之業, 何以使兵農得所, 而士卒精鍊歟? 我國之奴婢, 與中國自別, 創於何時歟? 或者以爲禮義之俗、廉恥之風, 寔賴於此, 其說是歟? 非歟? 董仲舒定限之說, 亦不可行歟? 凡此數者, 皆前代之所行, 當今之急務, 予之所願聞。 子大夫講之熟矣, 其酌古今之宜, 爲永久之規, 悉心以對。",策
27,"王若曰: ""帝王爲治之道雖同, 而爲政之方非一, 要皆厚倫成俗、制寇安民而已。 若稽唐、虞, 命契而敷五敎, 命禹而征三苗。 當是時, 黎民於變, 比屋可封, 而有苗梗化, 干羽之舞, 七旬乃格。 舜之文德, 豈班師而始敷歟? 三代迭興, 文質損益, 代各有治, 其詳有可言者歟? 可行於今日者, 何事歟? 大小宗之法, 所以尊祖宗之義也; 鄕飮酒之禮, 所以明長幼之序也。 射以觀德, 投壺以治心。 周家之治, 煥乎有文, 後世莫及者, 用此道也。 自周以前, 亦有行之者歟? 其所以致雍熙泰和之治者, 何道歟? 薄伐__, 詩人美之; 會戎于潛, 《春秋》譏之, 聖人待夷狄之道可見也已。 庸、蜀、羌、_與會於孟津。 淮夷、西戎, 雜處於東郊, 何歟? 降及後世, 曰漢曰晋, 以_于宋, 化民之政、御戎之策, 孰得而孰失歟? 恭惟我太祖受天景命, 太宗嗣受鴻業, 文昭武烈, 無讓古昔。 予以(諒)〔_〕 德, _承丕基, 夙夜憂勤。 罔敢或遑, 凡所施爲, 仰惟前代時若。 何以使人知尊祖敬宗而宗, 子之法立? 何以使人知長幼之序, 而鄕飮之禮行? 射者, 六藝之一, 而視爲武士之事, 若之何, 則射義復明。 投壺, 治身之具, 而徒爲豪俠之_, 若之何, 則擁矢合禮, 而賓主交敬歟? 我國南隣島夷, 北連野人, 制禦之方、撫綏之策, 固當熟慮, 而審處之。 玆者野人願居塞內, 島夷來處海濱, 若許其請, 則有違《春秋》謹嚴之義, 拒而不納, 則有虧王者無外之仁, 將何而可? 子大夫博通古今, 於此數者, 講之熟矣。 其各悉心以對, 予將大用焉。",策
28,王若曰。帝王之政。因時損益。二帝三王。其所損益何事歟。漢唐以下損益之事。孰爲可取歟。夫有田有民。所以養廉恥也。吾東方之有奴婢。昉於何代歟。今之士大夫家有奴婢。故妻子免_養之勞。上下有尊卑之分。以成禮俗。其關於世道可謂至矣。然奴婢亦天民也。其可世爲賤役乎。多者或至千百。是不可定限乎。漢有奴婢定限之制。其詳可得而聞歟。高麗盛時。法制悉備。其無奴婢定限之制乎。或曰。定限則人之貴賤有時。子孫蕃寡亦異。而奴婢生育盛衰不同。終有不均之嘆。勢難定限矣。何以處之乎。古者文武職事。各有職分之田。今之科田。不論時散。何所取法歟。名爲科田而多寡不均。依古職田之制。代其職者食其入可乎。或曰。職田之制。於當官者可矣。其曾有功勞而不幸閒散。未免口腹之憂。至於恤養守信之田。亦不可廢。將何道以處之乎。夫巡狩之制。帝王之盛事也。舜五載一巡狩。周十二年一巡狩。疏數煩簡之不同。何歟。蒐狩所以講武事。不可廢也。今雖五六日之行。不能無弊。其故何歟。虞周巡狩之意。可復行於今日乎。古之帝王。不一其都。以相往來。其意何歟。堯舜之都。可得而聞其詳歟。周有天下。旣都鎬京。又何遷鼎於洛邑乎。漢唐之幷建兩都。其意安在。高麗旣都松都。又定都平壤。乃曰。子孫毋忘平壤。其意又何歟。我太祖建都漢陽。全意于玆。不顧其他以復古者_建之意。其術安在。義倉之設。將以救民也。比因旱乾。民罹飢饉。義倉之粟。未能周急。其故何歟。朱子社倉之制。可得而聞其詳歟。版籍不明。人民離散。社倉之制。似難擧行。若何以復朱子之遺意。以建社倉於閭里乎。凡此數者。皆今日可言之事也。子大夫明古而識今。知常而變通。悉心以對。,策
29,"嘗觀六籍之文, 其義往往似有__, 予竊疑焉。 《易》曰: ""作《易》者, 其有憂患乎?"" 又曰: ""樂天知命, 故不憂。"" 其言之相戾, 何歟? 《書》稱文王曰: ""不遑暇食, 用咸和萬民。"" 稱武王曰: ""垂拱而天下治。"" 其所以爲治之不同, 何也? 《詩》曰: ""昊天曰明, 及爾出王。"", 則天非冥冥而難知也。 又曰: ""上天之載, 無聲無臭。"", 則天不可得而測也, 亦將有說乎? 子大夫講之熟矣, 其各詳辨以對, 予將親覽焉。",策
30,擬集賢殿進八駿圖,箋
31,法立弊立,策
32,"蓋聞, 善爲國者, 不過求賢從諫, 寡欲勤政而已, 不善者, 反是。 予以否德, 嗣守丕基, 日夜祇懼, 如臨淵履氷, 求聞過失, 以補不逮。 惟爾子大夫, 遊心聖學, 爲日已久, 若有時務急於今日, 或有過失, 予罔聞知, 則當悉心以陳, 無有隱諱。 雖文辭秀麗, 鋪敍博廣, 而意反不足, 則予徒見其反類俳優, 稱贊君德, 動比堯、舜, 而行反不掩, 則予徒見其病于夏畦。 今日之對, 務從誠實。",策
33,"王若曰。 三代以前, 聖帝明王繼作, 爲學之要、爲治之道, 皆以心相傳, 其大略, 僅見於經。 至孔子, 生於周末, 有聖德, 而無其位, 刪《詩》、《書》, 定《禮》、《樂》, 贊《周易》, 修《春秋》, 然後二帝三王爲學、爲治之道, 備載典籍, 垂諸萬世。 秦、漢以後, 道學不明, 善治無聞, 逮至于宋, 諸儒輩出, 表章六經, 正學復明, 宜若眞儒多, 而善治興矣。 然後之學者, 或入於邪僻, 或歸於迂遠, 世道之終不古, 若何也? 師道不立, 而敎養未盡歟? 抑氣化衰, 而終不能復振歟? 將在上者, 行之有未至歟? 敎養世子, 作興人才, 爲國之所先, 將何修而得其道歟? 子大夫, 學通古今, 識達治體, 陳之無隱。",策
34,"蓋聞堯之爲君也, 茅茨不剪, 采椽不_, 而其民耕田而食、鑿井而飮, 不知帝力, 信乎, 蕩蕩巍巍, 民無得而名焉。 舜紹堯致治, 九功惟敍, 九敍惟歌, 其熙熙__之氣像, 亦可想已。 禹卑宮、惡服, 而盡力乎溝_; 殷之三宗, 咸知稼穡之難、小民之勞; 文王卑服, 卽康功、田功, 視民如傷: 三代之治, 於斯爲盛! 自秦而下, 莫漢、唐若也, 漢之文帝惜露臺之費, 貫朽紅腐, 海內殷富, 此則易簡之道也。 或以爲: ‘漢尙黃老, 果有累於爲治之體歟? 唐之太宗呑蝗祝天, 斗米三錢, 家給人足, 外戶不閉, 而以爲行仁義之_, 仁義之用, 果止是而已乎?’ 惟我祖宗, 以忠信立國, 勤儉爲政, 制作法度、禮樂、刑政, 綱擧目張, 啓佑後人者, 至矣盡矣! 予以幼沖, 嗣承丕緖, 罔知攸措。 圖惟厥終, 正在初服, 庶幾祗若祖訓, 與民休息, 期至隆平。 古人有言曰: ‘興一利, 不若除一害。’ 方今朝廷之上, 豈無弊政? 田野之間, 必多愁嘆。 姑擧一二言之, 民力至困也, 而中外土木之役未息; 民食不裕也, 而貢賦科率之斂猥多。 此擧則彼困, 彼困則此廢, 將何以處之, 而兩盡歟? 農桑不可不勸也, 而或致煩擾; 兵卒不可不多也, 而或有不精, 以至國小而遊民多, 財竭而用度廣, 是亦必有處之之術。 子大夫, 其於救弊、安民之策, 講之有素, 悉陳毋隱, 以副予望治之情。",策
35,"古人云, 守成難於創業, 守成之所以難者, 何也? 古之善守成者, 周之成ㆍ康、漢之文ㆍ景而已, 玆數君者守成之道, 可得聞歟? 予以幼沖, 嗣守丕基, 思所以無墜祖宗艱大之業, 夙夜寅畏, 罔知攸措。 勤恤民隱, 而民生或至於愁嘆; 裁省冗費, 而倉_或虞於虛耗; 務修軍政, 而邊備或患於_虞: 其故何歟? 子大夫明經術、識治體, 必有能言當世之務者。 其直述無隱, 以副予守成求治之意。",策
36,"王若曰, 爲國之道, 固非一端, 足食足兵, 尤所先務。 我國家勸農, 廣儲非不至也, 而民俗本無遠慮, 禾稼稍登, 輒事醉飽, 且其啖食, 比他國倍多, 一人至兼數人之餐, 未至來春, 家儲已空。 於是, 不得不發倉, 賑之國庫, 何由而儲乎? 若之何, 則民有恒産而國有餘蓄歟? 國家養兵非不至(九)〔也〕 , 而卒伍未見其富實, 脫有數月之役, 其能堪乎? 古者, 一家從軍, 七家奉之, 故兵有餘力, 今以三丁養一兵, 敢望其富實耶? 奉之, 旣不如古, 用法之嚴, 又不如孫武斬宮嬪, 如是而責其赴湯蹈火, 難矣, 若之何, 則兵卒富實而法令必行歟? 子大夫博古通今, 於斯二者, 講之有素, 其各悉心以對。",策
37,"予以否德, 丕承基緖, 惟不克負荷是懼, 夙夜勵精, 欲臻至治, 必廣咨訪, 姑擧其政之大者言之。 賢材所當廣求而盡用, _遠之臣、遺逸之材, 豈能盡識? 故令大臣薦之, 銓曹擬之, 又有保擧之法, 而賢愚相混, 豈求賢之路未廣歟? 何以則賢能畢進, 而野無遺材邪? 官在得人, 不在員多。 昔以天下人材之衆, 只置員七百三十, 況以一國而官冗可乎? 使冗員皆汰, 則擇材亦精矣, 汰之則何者當汰歟? 城郭所以設險守國。 今沿邊郡縣, 修築粗完, 而內地則力未及焉, 何以則城堡畢修, 而民不至困歟? 此三者, 子大夫素所講明, 而新政之所願聞, 其悉陳無隱。",策
38,"予欲置巨鎭於西北要害之處, 如何而得宜乎? 楮幣之用, 何如而可乎? 其悉陳之。",策
39,"盜賊日熾, 六畜不蕃、軍器不鍊, 此三者思之而未得其要。 子大夫悉心以對。",策
40,"《書》曰, ""以閏月定四時成歲。"" 而不言置閏之月, 歲終節季置之若何? 今置閏無定者何也? 予未知同異及用之便否。 在前作三軍, 其將帥統而合之者多, 以所屬偏裨多故也。 其於推_委任之策, 何者是? 予未知同異及用之便否。 古聖制五音, 後世有七音之說, 從古乎則何則, 從今乎則何則? 予未知同異及用之便否。 諸葛亮作八陣, 李靖製六花陣, 劉裕用步兵, 唐宗選千騎, 古之名將所爲如此, 其於强弩勁馬之勢, 何者是? 予未知同異及用之便否。 羲則(何圖)〔河圖〕 , 禹因洛書, 程欲_文可作八卦, 此外又有可據者乎? 予未知同異及用之便否。 右五條, 皆子等所嘗熟議者也。 不通物理, 未可與論道, 子等各心以對, 予將親覽焉",策
41,"予以_德纘承丕緖, 夙夜思治, 惟是待夷狄裕民食之道, 究之未得其方。 我國家北有野人, 南有島倭, 投化糊口者, 日加絡繹, 盡欲接之, 則調度不裕, 難以應溪壑之需, 欲拒之不納, 則非特違招撫之義, 或生邊境之虞, 將何術以處之? 我國之民, 習性與中國不同, 飮食無節, _費稱貸, __不異, 欲常賑貸, 則畜積每患於虛竭, 欲不發粟, 則赤子殆轉于溝壑, 顧何修而可也? 諸生經世之策, 其必講之熟矣, 稽諸歷代, 酌乎時宜, 悉心以對。 予將觀有用之才。",策
42,"戶口軍籍, 國之重事, 國家自來不明, 如之何而明乎? 其悉陳之, 予將親覽焉。",策
43,"講易學啓蒙_中庸, 又講少微通鑑, 問漢 高項羽孰爲正大。",講
44,"我國西北虛而東南實, 今欲徙民於西北, 民皆重遷。 願聞徙民樂遷之策。",策
45,"禮樂之說有三, ""曰不可斯須去身,"" ""曰緣以設敎耳,"" ""曰雖軍陣、宴閑之際, 事事逢原, 取用無窮,"" 右三說同乎異乎? 用人之說有三, ""曰試可乃已,"" ""曰擧爾所知,"" ""曰見賢焉而後用之,"" 右三說同乎異乎? 子大夫讀書久矣, 悉陣其義。",策
46,"王若曰, 予自_政以來, 屬意文武, 或親講經, 或試製述, 敦勸儒士, 非一方也, 未見作成之_, 或親習閱, 或試兵法, 策勵武士, 非一方也, 未見作興之_, 敦勸策勵之術, 有未盡歟? 甄別拔擢之道, 有未至歟? 抑氣化有盛衰, 非人力可及歟? 安得使士競奮勵, 英豪輩出與共經濟乎? 士大夫各悉心以對。",策
